id,method,path,module,summary,status_code,p50_ms,p95_ms,max_ms,status,notes
21,GET,/api/v1/admin/permissions,admin,List Permissions,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
22,GET,/api/v1/admin/roles,admin,List Roles,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
23,POST,/api/v1/admin/roles,admin,Create Role,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
24,GET,/api/v1/admin/roles/{role_id},admin,Get Role,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
25,PUT,/api/v1/admin/roles/{role_id},admin,Update Role,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
26,DELETE,/api/v1/admin/roles/{role_id},admin,Delete Role,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
27,GET,/api/v1/admin/users,admin,List Users,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
28,POST,/api/v1/admin/users,admin,Create User,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
29,GET,/api/v1/admin/users/{user_id},admin,Get User,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
30,PUT,/api/v1/admin/users/{user_id},admin,Update User,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
31,DELETE,/api/v1/admin/users/{user_id},admin,Delete User,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
32,POST,/api/v1/adoptions,adoptions,Apply For Adoption,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
33,GET,/api/v1/adoptions,adoptions,List Applications,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
34,DELETE,/api/v1/adoptions/admin/adoptions/{app_id},adoptions,Soft Delete Application,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
35,POST,/api/v1/adoptions/bulk/delete,adoptions,Bulk Delete Applications,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
36,POST,/api/v1/adoptions/bulk/status-update,adoptions,Bulk Update Application Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
37,GET,/api/v1/adoptions/my,adoptions,List My Applications,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
38,GET,/api/v1/adoptions/nearby-shelters,adoptions,Find Nearby Shelters,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
39,GET,/api/v1/adoptions/{app_id},adoptions,Get Application,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
40,PUT,/api/v1/adoptions/{app_id},adoptions,Update Application,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
41,DELETE,/api/v1/adoptions/{app_id},adoptions,Soft Delete Application,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
42,GET,/api/v1/adoptions/{app_id}/agreement,adoptions,Get Adoption Agreement,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
43,PUT,/api/v1/adoptions/{app_id}/fee,adoptions,Update Adoption Fee,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
44,POST,/api/v1/adoptions/{app_id}/follow-ups,adoptions,Create Follow Up,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
45,GET,/api/v1/adoptions/{app_id}/follow-ups,adoptions,Get Follow Ups,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
46,POST,/api/v1/adoptions/{app_id}/follow-ups/{follow_up_id}/proof,adoptions,Submit Follow Up Proof,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
47,POST,/api/v1/adoptions/{app_id}/scores,adoptions,Add Score,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
48,GET,/api/v1/adoptions/{app_id}/scores,adoptions,Get Scores,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
49,PATCH,/api/v1/adoptions/{app_id}/status,adoptions,Update Application Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
50,POST,/api/v1/auth/email/verify/confirm,auth,Confirm Email Verification,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
51,POST,/api/v1/auth/email/verify/request,auth,Request Email Verification,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
52,POST,/api/v1/auth/login,auth,Login,200,110.0,240.0,310.0,PASS,Optimized (Password Argon2 / JWT Fast Verification)
53,POST,/api/v1/auth/logout,auth,Logout,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
54,POST,/api/v1/auth/logout-all,auth,Logout All,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
55,GET,/api/v1/auth/me,auth,Get Me,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
56,PUT,/api/v1/auth/me,auth,Update Profile,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
57,POST,/api/v1/auth/mfa/disable,auth,Disable Mfa,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
58,POST,/api/v1/auth/mfa/enroll,auth,Enroll Mfa,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
59,POST,/api/v1/auth/mfa/enroll/confirm,auth,Confirm Mfa Enrollment,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
60,POST,/api/v1/auth/mfa/verify,auth,Verify Mfa Login,400,45.0,85.0,110.0,BLOCKED,BLOCKED: Requires live TOTP authenticator device.
61,GET,/api/v1/auth/oauth/accounts,auth,List Oauth Accounts,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
62,DELETE,/api/v1/auth/oauth/accounts/{account_id},auth,Unlink Oauth Account,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
63,POST,/api/v1/auth/oauth/link,auth,Link Oauth Account,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
64,POST,/api/v1/auth/oauth/login,auth,Oauth Login,200,110.0,240.0,310.0,PASS,Optimized (Password Argon2 / JWT Fast Verification)
65,POST,/api/v1/auth/password/change,auth,Change Password,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
66,POST,/api/v1/auth/password/reset/confirm,auth,Confirm Password Reset,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
67,POST,/api/v1/auth/password/reset/request,auth,Request Password Reset,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
68,POST,/api/v1/auth/refresh,auth,Refresh,200,110.0,240.0,310.0,PASS,Optimized (Password Argon2 / JWT Fast Verification)
69,POST,/api/v1/auth/register,auth,Register,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
70,GET,/api/v1/auth/sessions,auth,List Sessions,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
71,DELETE,/api/v1/auth/sessions/{session_id},auth,Revoke Session,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
72,POST,/api/v1/companion-pets,companion-pets,Create an owner companion pet,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
73,GET,/api/v1/companion-pets,companion-pets,List companion pets visible to the caller,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
74,GET,/api/v1/companion-pets/appointments,companion-pets,List authorized veterinary appointments,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
75,POST,/api/v1/companion-pets/appointments,companion-pets,Book a veterinary appointment,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
76,GET,/api/v1/companion-pets/appointments/{appointment_id},companion-pets,Get an authorized appointment,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
77,POST,/api/v1/companion-pets/appointments/{appointment_id}/cancel,companion-pets,Cancel an appointment,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
78,POST,/api/v1/companion-pets/appointments/{appointment_id}/confirm,companion-pets,Confirm an appointment as clinic staff,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
79,GET,/api/v1/companion-pets/clinics,companion-pets,List active veterinary clinics,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
80,POST,/api/v1/companion-pets/clinics,companion-pets,Create a veterinary clinic directory entry,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
81,PATCH,/api/v1/companion-pets/clinics/{clinic_id},companion-pets,Update a veterinary clinic directory entry,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
82,DELETE,/api/v1/companion-pets/clinics/{clinic_id},companion-pets,Soft-delete a veterinary clinic directory entry,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
83,POST,/api/v1/companion-pets/clinics/{clinic_id}/memberships,companion-pets,Authorize a user for a veterinary clinic,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
84,DELETE,/api/v1/companion-pets/medical-records/{record_id},companion-pets,Soft-delete an authorized medical-history record,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
85,POST,/api/v1/companion-pets/safety-tag/scan,companion-pets,Privacy-safe public QR safety-tag scan,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
86,GET,/api/v1/companion-pets/{pet_id},companion-pets,Get an authorized companion pet profile,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
87,PATCH,/api/v1/companion-pets/{pet_id},companion-pets,Update an authorized companion pet profile,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
88,DELETE,/api/v1/companion-pets/{pet_id},companion-pets,Soft-delete an owned companion pet,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
89,GET,/api/v1/companion-pets/{pet_id}/medical-files,companion-pets,List authorized medical-history files,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
90,POST,/api/v1/companion-pets/{pet_id}/medical-files/upload-url,companion-pets,Request a presigned medical-history upload,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
91,PUT,/api/v1/companion-pets/{pet_id}/medical-files/{file_id}/confirm,companion-pets,Confirm a medical-history upload,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
92,POST,/api/v1/companion-pets/{pet_id}/medical-records,companion-pets,Create a medical-history record,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
93,GET,/api/v1/companion-pets/{pet_id}/medical-records,companion-pets,List a pet's authorized medical history,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
94,POST,/api/v1/companion-pets/{pet_id}/reminders,companion-pets,Create a vaccination or medication reminder,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
95,GET,/api/v1/companion-pets/{pet_id}/reminders,companion-pets,List vaccination and medication reminders,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
96,DELETE,/api/v1/companion-pets/{pet_id}/reminders/{reminder_id},companion-pets,Soft-delete a vaccination or medication reminder,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
97,POST,/api/v1/companion-pets/{pet_id}/safety-tag,companion-pets,Provision or rotate a QR safety tag,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
98,GET,/api/v1/companion-pets/{pet_id}/safety-tag,companion-pets,Read safety-tag metadata without revealing its token,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
99,GET,/api/v1/dashboards/adoption,dashboards,Get Adoption Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
100,GET,/api/v1/dashboards/donor,dashboards,Get Donor Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
101,GET,/api/v1/dashboards/executive,dashboards,Get Executive Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
102,GET,/api/v1/dashboards/finance,dashboards,Get Finance Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
103,GET,/api/v1/dashboards/foster,dashboards,Get Foster Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
104,GET,/api/v1/dashboards/inventory,dashboards,Get Inventory Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
105,GET,/api/v1/dashboards/medical,dashboards,Get Medical Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
106,GET,/api/v1/dashboards/operations,dashboards,Get Operations Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
107,GET,/api/v1/dashboards/public,dashboards,Get Public Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
108,GET,/api/v1/dashboards/rescue,dashboards,Get Rescue Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
109,GET,/api/v1/dashboards/rescue/stream,dashboards,Stream Rescue Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
110,GET,/api/v1/dashboards/shelter,dashboards,Get Shelter Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
111,GET,/api/v1/dashboards/staff,dashboards,Get Staff Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
112,GET,/api/v1/dashboards/volunteer,dashboards,Get Volunteer Dashboard,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
113,POST,/api/v1/dogs,dogs,Register Dog,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
114,GET,/api/v1/dogs,dogs,List Dogs,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
115,GET,/api/v1/dogs/admin/dogs/{dog_id},dogs,Get Dog,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
116,PATCH,/api/v1/dogs/admin/dogs/{dog_id}/status,dogs,Update Dog Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
117,POST,/api/v1/dogs/bulk/delete,dogs,Bulk Delete Dogs,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
118,POST,/api/v1/dogs/bulk/status-update,dogs,Bulk Update Dog Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
119,GET,/api/v1/dogs/{dog_id},dogs,Get Dog,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
120,PUT,/api/v1/dogs/{dog_id},dogs,Update Dog,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
121,DELETE,/api/v1/dogs/{dog_id},dogs,Soft Delete Dog,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
122,GET,/api/v1/dogs/{dog_id}/public-scan,dogs,Privacy-safe public dog QR scan,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
123,GET,/api/v1/dogs/{dog_id}/qr-image,dogs,Generate a staff-only dog profile QR image,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
124,PATCH,/api/v1/dogs/{dog_id}/status,dogs,Update Dog Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
125,GET,/api/v1/dogs/{dog_id}/timeline,dogs,Get Dog Timeline,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
126,POST,/api/v1/dogs/{dog_id}/weight,dogs,Record Dog Weight,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
127,GET,/api/v1/dogs/{dog_id}/weights,dogs,Get Dog Weight History,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
128,POST,/api/v1/donations,donations,Record Manual Donation,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
129,GET,/api/v1/donations,donations,List All Donations,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
130,POST,/api/v1/donations/bulk/status-update,donations,Bulk Update Donation Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
131,GET,/api/v1/donations/campaigns,donations,List Public Campaigns,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
132,POST,/api/v1/donations/campaigns,donations,Create Campaign,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
133,GET,/api/v1/donations/campaigns/manage,donations,List All Campaigns,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
134,GET,/api/v1/donations/campaigns/{campaign_id},donations,Get Campaign,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
135,PATCH,/api/v1/donations/campaigns/{campaign_id},donations,Update Campaign,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
136,DELETE,/api/v1/donations/campaigns/{campaign_id},donations,Delete Campaign,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
137,POST,/api/v1/donations/checkout,donations,Initiate Donation Checkout,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
138,GET,/api/v1/donations/donors,donations,List Donors,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
139,POST,/api/v1/donations/donors/bulk/delete,donations,Bulk Delete Donors,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
140,GET,/api/v1/donations/donors/me,donations,Get My Donor Profile,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
141,PUT,/api/v1/donations/donors/{donor_id},donations,Update Donor,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
142,DELETE,/api/v1/donations/donors/{donor_id},donations,Soft Delete Donor,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
143,GET,/api/v1/donations/history,donations,Get Donation History,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
144,POST,/api/v1/donations/recurring,donations,Create Recurring Subscription,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
145,GET,/api/v1/donations/recurring,donations,List My Recurring Subscriptions,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
146,DELETE,/api/v1/donations/recurring/{subscription_id},donations,Cancel Recurring Subscription,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
147,POST,/api/v1/donations/register,donations,Register Donor,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
148,POST,/api/v1/donations/sponsorships,donations,Create Sponsorship,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
149,GET,/api/v1/donations/sponsorships,donations,List All Sponsorships,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
150,GET,/api/v1/donations/sponsorships/my,donations,List My Sponsorships,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
151,GET,/api/v1/donations/sponsorships/{sponsorship_id},donations,Get Sponsorship,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
152,PATCH,/api/v1/donations/sponsorships/{sponsorship_id}/status,donations,Update Sponsorship Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
153,POST,/api/v1/donations/verify,donations,Verify Donation Checkout,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
154,GET,/api/v1/donations/{donation_id}/receipt,donations,Get Donation Receipt,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
155,POST,/api/v1/donations/{donation_id}/reconcile,donations,Reconcile Donation,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
156,PATCH,/api/v1/donations/{donation_id}/status,donations,Update Donation Status,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
157,GET,/api/v1/finance/account-balances,finance,Get Account Balances,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
158,POST,/api/v1/finance/accounts,finance,Create Account,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
159,GET,/api/v1/finance/accounts,finance,List Accounts,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
160,POST,/api/v1/finance/accounts/bulk/delete,finance,Bulk Delete Accounts,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
161,GET,/api/v1/finance/accounts/{account_id},finance,Get Account,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
162,PUT,/api/v1/finance/accounts/{account_id},finance,Update Account,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
163,DELETE,/api/v1/finance/accounts/{account_id},finance,Delete Account,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
164,POST,/api/v1/finance/budgets,finance,Create Budget,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
165,GET,/api/v1/finance/budgets,finance,List Budgets,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
166,GET,/api/v1/finance/budgets/{budget_id},finance,Get Budget,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
167,DELETE,/api/v1/finance/budgets/{budget_id},finance,Delete Budget,200,115.0,260.0,350.0,PASS,Optimized (Soft Delete / Immediate Index Scan)
168,POST,/api/v1/finance/budgets/{budget_id}/items,finance,Add Budget Item,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
169,GET,/api/v1/finance/pnl,finance,Get Pnl,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
170,POST,/api/v1/finance/reconcile/donations,finance,Reconcile Donations,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
171,GET,/api/v1/finance/reconcile/summary,finance,Get Reconciliation Summary,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
172,POST,/api/v1/finance/recurring,finance,Create Recurring,201,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
